ColumnName,Category,CategoryName
vdnm,source,Result
vdml,source,Result
cltp,source,Result
emrtp,source,Result
papcid,appointment,Medication
fapid,appointment,Medication
aprc,appointment,Medication
aprt,appointment,Medication
aprcs,appointment,Medication
aptc,appointment,Medication
aptn,appointment,Medication
aptcs,appointment,Medication
apdu,appointment,Medication
apldt,appointment,Medication
apltm,appointment,Medication
pcid,appointment,Medication
pcfn,appointment,Medication
apcmn,appointment,Medication
apclm,appointment,Medication
afid,appointment,Medication
affn,appointment,Medication
afmn,appointment,Medication
afln,appointment,Medication
aeid,appointment,Medication
aefn,appointment,Medication
aemn,appointment,Medication
aeln,appointment,Medication
ppcapid,appointment,Medication
pfapid,appointment,Medication
apsc,appointment,Medication
abkdt,appointment,Medication
alrtp,appointment,Medication
apfdt,appointment,Medication
apftm,appointment,Medication
empi,demographic,Medication
tel2,demographic,Medication
tel3,demographic,Medication
tel4,demographic,Medication
ssa1,demographic,Medication
ssa2,demographic,Medication
sci,demographic,Medication
sct,demographic,Medication
sctn,demographic,Medication
sst,demographic,Medication
sstn,demographic,Medication
scy,demographic,Medication
sz,demographic,Medication
race,demographic,Medication
fn,demographic,Medication
mn,demographic,Medication
ln,demographic,Medication
orec,demographic,Medication
byind,demographic,Medication
pl,demographic,Medication
bfmdst,demographic,Medication
bfsdcd,demographic,Medication
hpstdt,demographic,Medication
hpenddt,demographic,Medication
rel,demographic,Medication
mbi,demographic,Medication
dob,demographic,Medication
gn,demographic,Medication
dod,demographic,Medication
id,demographic,Medication
idt,demographic,Medication
ssn4,demographic,Medication
ssn,demographic,Medication
eml1,demographic,Medication
cell1,demographic,Medication
tel1,demographic,Medication
psa1,demographic,Medication
psa2,demographic,Medication
pci,demographic,Medication
pct,demographic,Medication
pctn,demographic,Medication
pst,demographic,Medication
pstn,demographic,Medication
pcy,demographic,Medication
pz,demographic,Medication
ethn,demographic,Medication
df,demographic,Medication
ms,demographic,Medication
sid,demographic,Medication
pstp,demographic,Medication
racen,demographic,Medication
ethnm,demographic,Medication
msn,demographic,Medication
pcpn,demographic,Medication
pcpslid,demographic,Medication
pcpsln,demographic,Medication
pcpfdt,demographic,Medication
pcpldt,demographic,Medication
pcpidt,demographic,Medication
pcpslidt,demographic,Medication
pcpid,demographic,Medication
pthcno,demographic,Medication
bedpa,demographic,Medication
bedpb,demographic,Medication
eid,encounter,Medication
efdt,encounter,Medication
er,encounter,Medication
es,encounter,Medication
drdn,encounter,Medication
stn,encounter,Medication
sln,encounter,Medication
vif,encounter,Medication
et,encounter,Medication
atc,encounter,Medication
raid,encounter,Medication
adsc,encounter,Medication
eldt,encounter,Medication
drdc,encounter,Medication
drtl,encounter,Medication
fc,encounter,Medication
stc,encounter,Medication
slc,encounter,Medication
adt,encounter,Medication
drdt,encounter,Medication
adsrn,encounter,Medication
ptt,encounter,Medication
inpid,insurance,Medication
incid,insurance,Medication
inpn,insurance,Medication
inptp,insurance,Medication
incn,insurance,Medication
ingno,insurance,Medication
inorgn,insurance,Medication
inpt,insurance,Medication
infn,insurance,Medication
inln,insurance,Medication
inmn,insurance,Medication
inpr,insurance,Medication
indob,insurance,Medication
inprsq,insurance,Medication
ptsid,insurance,Medication
ptsrn,insurance,Medication
inpcs,insurance,Medication
ingerid,insurance,Medication
ingen,insurance,Medication
inpfdt,insurance,Medication
inpldt,insurance,Medication
prs,insurance,Medication
prt,insurance,Medication
ptsgn,insurance,Medication
prn,medication,Medication
prfn,medication,Medication
prno,medication,Medication
rxn,medication,Medication
norr,medication,Medication
nord,medication,Medication
rxs,medication,Medication
rxgun,medication,Medication
mdat,medication,Medication
phid,medication,Medication
phidtp,medication,Medication
mfnm,medication,Medication
prdt,medication,Medication
rxc,medication,Medication
rxcs,medication,Medication
rxmc,medication,Medication
smcs,medication,Medication
gf,medication,Medication
rxfdt,medication,Medication
rxldt,medication,Medication
msrga,medication,Medication
rxds,medication,Medication
nor,medication,Medication
mrrdt,medication,Medication
rxguc,medication,Medication
rxgucs,medication,Medication
phn,medication,Medication
phcy,medication,Medication
phst,medication,Medication
dpct,medication,Medication
phz,medication,Medication
phsa1,medication,Medication
phcn,medication,Medication
mrtcd,medication,Medication
mrtnm,medication,Medication
mst,medication,Medication
mstn,medication,Medication
mfrq,medication,Medication
mfrn,medication,Medication
rxsut,medication,Medication
pstc,medication,Medication
drgea,medication,Medication
daw,medication,Medication
cms,notesandcomments,Medication
cmd,notesandcomments,Medication
cmt,notesandcomments,Medication
pbn,problem,Medication
pbfdt,problem,Medication
pbrdt,problem,Medication
pbldt,problem,Medication
pbc,problem,Medication
pbcs,problem,Medication
pbst,problem,Medication
pbtp,problem,Medication
pbtpc,problem,Medication
acoid,provider,Medication
acon,provider,Medication
adpid,provider,Medication
adpidt,provider,Medication
adpn,provider,Medication
adpnpi,provider,Medication
adps,provider,Medication
adpsc,provider,Medication
atpid,provider,Medication
atpidt,provider,Medication
atpn,provider,Medication
atpnpi,provider,Medication
atps,provider,Medication
atpsc,provider,Medication
cpid,provider,Medication
cpidt,provider,Medication
cpn,provider,Medication
cpnpi,provider,Medication
cps,provider,Medication
cpsc,provider,Medication
ftccn,provider,Medication
ftci,provider,Medication
ftid,provider,Medication
ftidt,provider,Medication
ftn,provider,Medication
ftnpi,provider,Medication
ftsa1,provider,Medication
ftsa2,provider,Medication
ftsp,provider,Medication
ftspcd,provider,Medication
ftst,provider,Medication
ftstn,provider,Medication
ftz,provider,Medication
opid,provider,Medication
opidt,provider,Medication
opn,provider,Medication
opnpi,provider,Medication
opsc,provider,Medication
opsn,provider,Medication
orgid,provider,Medication
orgn,provider,Medication
orgrid,provider,Medication
orgrn,provider,Medication
orgtin,provider,Medication
otpid,provider,Medication
otpidt,provider,Medication
otpn,provider,Medication
otpnpi,provider,Medication
otps,provider,Medication
otpsc,provider,Medication
rpid,provider,Medication
rpidt,provider,Medication
rpn,provider,Medication
rpnpi,provider,Medication
rps,provider,Medication
rpsc,provider,Medication
spidt,provider,Medication
spn,provider,Medication
spid,provider,Medication
sps,provider,Medication
spsc,provider,Medication
spnpi,provider,Medication
prvid,provider,Medication
st,source,Medication
sstp,source,Medication
rcdt,source,Medication
meunm,source,Medication
metmstp,source,Medication
medt,source,Medication
mefn,source,Medication
meln,source,Medication
meuid,source,Medication
menote,source,Medication
ingdt,source,Medication
pipid,source,Medication
sfn,source,Medication
vdnm,source,Medication
vdml,source,Medication
cltp,source,Medication
emrtp,source,Medication
cocd,circleofcare,CircleOfCare
cocdt,circleofcare,CircleOfCare
coc,circleofcare,CircleOfCare
cptp,circleofcare,CircleOfCare
cpfn,circleofcare,CircleOfCare
cpmn,circleofcare,CircleOfCare
cpln,circleofcare,CircleOfCare
cocsa1,circleofcare,CircleOfCare
cocci,circleofcare,CircleOfCare
cocst,circleofcare,CircleOfCare
coccy,circleofcare,CircleOfCare
cocz,circleofcare,CircleOfCare
coccn,circleofcare,CircleOfCare
cocfg,circleofcare,CircleOfCare
cocsa2,circleofcare,CircleOfCare
cocatp,circleofcare,CircleOfCare
cocntp,circleofcare,CircleOfCare
empi,demographic,CircleOfCare
tel2,demographic,CircleOfCare
tel3,demographic,CircleOfCare
tel4,demographic,CircleOfCare
ssa1,demographic,CircleOfCare
ssa2,demographic,CircleOfCare
sci,demographic,CircleOfCare
sct,demographic,CircleOfCare
sctn,demographic,CircleOfCare
sst,demographic,CircleOfCare
sstn,demographic,CircleOfCare
scy,demographic,CircleOfCare
sz,demographic,CircleOfCare
race,demographic,CircleOfCare
fn,demographic,CircleOfCare
mn,demographic,CircleOfCare
ln,demographic,CircleOfCare
orec,demographic,CircleOfCare
byind,demographic,CircleOfCare
pl,demographic,CircleOfCare
bfmdst,demographic,CircleOfCare
bfsdcd,demographic,CircleOfCare
hpstdt,demographic,CircleOfCare
hpenddt,demographic,CircleOfCare
rel,demographic,CircleOfCare
mbi,demographic,CircleOfCare
dob,demographic,CircleOfCare
gn,demographic,CircleOfCare
dod,demographic,CircleOfCare
id,demographic,CircleOfCare
idt,demographic,CircleOfCare
ssn4,demographic,CircleOfCare
ssn,demographic,CircleOfCare
eml1,demographic,CircleOfCare
cell1,demographic,CircleOfCare
tel1,demographic,CircleOfCare
psa1,demographic,CircleOfCare
psa2,demographic,CircleOfCare
pci,demographic,CircleOfCare
pct,demographic,CircleOfCare
pctn,demographic,CircleOfCare
pst,demographic,CircleOfCare
pstn,demographic,CircleOfCare
pcy,demographic,CircleOfCare
pz,demographic,CircleOfCare
ethn,demographic,CircleOfCare
df,demographic,CircleOfCare
ms,demographic,CircleOfCare
sid,demographic,CircleOfCare
pstp,demographic,CircleOfCare
racen,demographic,CircleOfCare
ethnm,demographic,CircleOfCare
msn,demographic,CircleOfCare
pcpn,demographic,CircleOfCare
pcpslid,demographic,CircleOfCare
pcpsln,demographic,CircleOfCare
pcpfdt,demographic,CircleOfCare
pcpldt,demographic,CircleOfCare
pcpidt,demographic,CircleOfCare
pcpslidt,demographic,CircleOfCare
pcpid,demographic,CircleOfCare
pthcno,demographic,CircleOfCare
bedpa,demographic,CircleOfCare
bedpb,demographic,CircleOfCare
inpid,insurance,CircleOfCare
incid,insurance,CircleOfCare
inpn,insurance,CircleOfCare
inptp,insurance,CircleOfCare
incn,insurance,CircleOfCare
ingno,insurance,CircleOfCare
inorgn,insurance,CircleOfCare
inpt,insurance,CircleOfCare
infn,insurance,CircleOfCare
inln,insurance,CircleOfCare
inmn,insurance,CircleOfCare
inpr,insurance,CircleOfCare
indob,insurance,CircleOfCare
inprsq,insurance,CircleOfCare
ptsid,insurance,CircleOfCare
ptsrn,insurance,CircleOfCare
inpcs,insurance,CircleOfCare
ingerid,insurance,CircleOfCare
ingen,insurance,CircleOfCare
inpfdt,insurance,CircleOfCare
inpldt,insurance,CircleOfCare
prs,insurance,CircleOfCare
prt,insurance,CircleOfCare
ptsgn,insurance,CircleOfCare
cms,notesandcomments,CircleOfCare
cmd,notesandcomments,CircleOfCare
cmt,notesandcomments,CircleOfCare
acoid,provider,CircleOfCare
acon,provider,CircleOfCare
adpid,provider,CircleOfCare
adpidt,provider,CircleOfCare
adpn,provider,CircleOfCare
adpnpi,provider,CircleOfCare
adps,provider,CircleOfCare
adpsc,provider,CircleOfCare
atpid,provider,CircleOfCare
atpidt,provider,CircleOfCare
atpn,provider,CircleOfCare
atpnpi,provider,CircleOfCare
atps,provider,CircleOfCare
atpsc,provider,CircleOfCare
cpid,provider,CircleOfCare
cpidt,provider,CircleOfCare
cpn,provider,CircleOfCare
cpnpi,provider,CircleOfCare
cps,provider,CircleOfCare
cpsc,provider,CircleOfCare
ftccn,provider,CircleOfCare
ftci,provider,CircleOfCare
ftid,provider,CircleOfCare
ftidt,provider,CircleOfCare
ftn,provider,CircleOfCare
ftnpi,provider,CircleOfCare
ftsa1,provider,CircleOfCare
ftsa2,provider,CircleOfCare
ftsp,provider,CircleOfCare
ftspcd,provider,CircleOfCare
ftst,provider,CircleOfCare
ftstn,provider,CircleOfCare
ftz,provider,CircleOfCare
opid,provider,CircleOfCare
opidt,provider,CircleOfCare
opn,provider,CircleOfCare
opnpi,provider,CircleOfCare
opsc,provider,CircleOfCare
opsn,provider,CircleOfCare
orgid,provider,CircleOfCare
orgn,provider,CircleOfCare
orgrid,provider,CircleOfCare
orgrn,provider,CircleOfCare
orgtin,provider,CircleOfCare
otpid,provider,CircleOfCare
otpidt,provider,CircleOfCare
otpn,provider,CircleOfCare
otpnpi,provider,CircleOfCare
otps,provider,CircleOfCare
otpsc,provider,CircleOfCare
rpid,provider,CircleOfCare
rpidt,provider,CircleOfCare
rpn,provider,CircleOfCare
rpnpi,provider,CircleOfCare
rps,provider,CircleOfCare
rpsc,provider,CircleOfCare
spidt,provider,CircleOfCare
spn,provider,CircleOfCare
spid,provider,CircleOfCare
sps,provider,CircleOfCare
spsc,provider,CircleOfCare
spnpi,provider,CircleOfCare
prvid,provider,CircleOfCare
st,source,CircleOfCare
sstp,source,CircleOfCare
rcdt,source,CircleOfCare
meunm,source,CircleOfCare
metmstp,source,CircleOfCare
medt,source,CircleOfCare
mefn,source,CircleOfCare
meln,source,CircleOfCare
meuid,source,CircleOfCare
menote,source,CircleOfCare
ingdt,source,CircleOfCare
pipid,source,CircleOfCare
sfn,source,CircleOfCare
vdnm,source,CircleOfCare
vdml,source,CircleOfCare
cltp,source,CircleOfCare
emrtp,source,CircleOfCare
tid,charge,Claimheader
tbid,charge,Claimheader
tsdt,charge,Claimheader
tpdt,charge,Claimheader
tsc,charge,Claimheader
tscs,charge,Claimheader
sdc,charge,Claimheader
tt,charge,Claimheader
tcamt,charge,Claimheader
chtc,charge,Claimheader
licamt,charge,Claimheader
licop,charge,Claimheader
chsbdt,charge,Claimheader
tsn,charge,Claimheader
sdn,charge,Claimheader
ttn,charge,Claimheader
tqt,charge,Claimheader
utat,charge,Claimheader
cat,charge,Claimheader
cid,claimheader,Claimheader
csbdt,claimheader,Claimheader
cpdt,claimheader,Claimheader
cadt,claimheader,Claimheader
capdt,claimheader,Claimheader
poac,claimheader,Claimheader
adjr,claimheader,Claimheader
drc,claimheader,Claimheader
cltc,claimheader,Claimheader
stp,claimheader,Claimheader
adjs,claimheader,Claimheader
cftc,claimheader,Claimheader
rsc,claimheader,Claimheader
pih,claimheader,Claimheader
coph,claimheader,Claimheader
coha,claimheader,Claimheader
ddah,claimheader,Claimheader
adjrn,claimheader,Claimheader
drn,claimheader,Claimheader
bt,claimheader,Claimheader
adjsn,claimheader,Claimheader
cbftn,claimheader,Claimheader
dea,claimheader,Claimheader
cpiml,claimheader,Claimheader
caia,claimheader,Claimheader
imeamt,claimheader,Claimheader
cdpa,claimheader,Claimheader
cuca,claimheader,Claimheader
cdsa,claimheader,Claimheader
empi,demographic,Claimheader
tel2,demographic,Claimheader
tel3,demographic,Claimheader
tel4,demographic,Claimheader
ssa1,demographic,Claimheader
ssa2,demographic,Claimheader
sci,demographic,Claimheader
sct,demographic,Claimheader
sctn,demographic,Claimheader
sst,demographic,Claimheader
sstn,demographic,Claimheader
scy,demographic,Claimheader
sz,demographic,Claimheader
race,demographic,Claimheader
fn,demographic,Claimheader
mn,demographic,Claimheader
ln,demographic,Claimheader
orec,demographic,Claimheader
byind,demographic,Claimheader
pl,demographic,Claimheader
bfmdst,demographic,Claimheader
bfsdcd,demographic,Claimheader
hpstdt,demographic,Claimheader
hpenddt,demographic,Claimheader
rel,demographic,Claimheader
mbi,demographic,Claimheader
dob,demographic,Claimheader
gn,demographic,Claimheader
dod,demographic,Claimheader
id,demographic,Claimheader
idt,demographic,Claimheader
ssn4,demographic,Claimheader
ssn,demographic,Claimheader
eml1,demographic,Claimheader
cell1,demographic,Claimheader
tel1,demographic,Claimheader
psa1,demographic,Claimheader
psa2,demographic,Claimheader
pci,demographic,Claimheader
pct,demographic,Claimheader
pctn,demographic,Claimheader
pst,demographic,Claimheader
pstn,demographic,Claimheader
pcy,demographic,Claimheader
pz,demographic,Claimheader
ethn,demographic,Claimheader
df,demographic,Claimheader
ms,demographic,Claimheader
sid,demographic,Claimheader
pstp,demographic,Claimheader
racen,demographic,Claimheader
ethnm,demographic,Claimheader
msn,demographic,Claimheader
pcpn,demographic,Claimheader
pcpslid,demographic,Claimheader
pcpsln,demographic,Claimheader
pcpfdt,demographic,Claimheader
pcpldt,demographic,Claimheader
pcpidt,demographic,Claimheader
pcpslidt,demographic,Claimheader
pcpid,demographic,Claimheader
pthcno,demographic,Claimheader
bedpa,demographic,Claimheader
bedpb,demographic,Claimheader
did,diagnosis,Claimheader
ad,diagnosis,Claimheader
pdn,diagnosis,Claimheader
pds,diagnosis,Claimheader
pdsn,diagnosis,Claimheader
ccsdc,diagnosis,Claimheader
ccsgn,diagnosis,Claimheader
ccsv,diagnosis,Claimheader
drgn,diagnosis,Claimheader
drgv,diagnosis,Claimheader
adn1,diagnosis,Claimheader
adn2,diagnosis,Claimheader
adn3,diagnosis,Claimheader
adn4,diagnosis,Claimheader
adn5,diagnosis,Claimheader
adn6,diagnosis,Claimheader
adn7,diagnosis,Claimheader
adn8,diagnosis,Claimheader
adn9,diagnosis,Claimheader
adn10,diagnosis,Claimheader
adn11,diagnosis,Claimheader
adn12,diagnosis,Claimheader
adn13,diagnosis,Claimheader
adn14,diagnosis,Claimheader
ddt,diagnosis,Claimheader
adn15,diagnosis,Claimheader
pd,diagnosis,Claimheader
pdcs,diagnosis,Claimheader
drg,diagnosis,Claimheader
ad1,diagnosis,Claimheader
ad2,diagnosis,Claimheader
ad3,diagnosis,Claimheader
ad4,diagnosis,Claimheader
ad5,diagnosis,Claimheader
ad6,diagnosis,Claimheader
ad7,diagnosis,Claimheader
ad8,diagnosis,Claimheader
ad9,diagnosis,Claimheader
ad10,diagnosis,Claimheader
ad11,diagnosis,Claimheader
ad12,diagnosis,Claimheader
ad13,diagnosis,Claimheader
ad14,diagnosis,Claimheader
ad15,diagnosis,Claimheader
adn,diagnosis,Claimheader
eid,encounter,Claimheader
efdt,encounter,Claimheader
er,encounter,Claimheader
es,encounter,Claimheader
drdn,encounter,Claimheader
stn,encounter,Claimheader
sln,encounter,Claimheader
vif,encounter,Claimheader
et,encounter,Claimheader
atc,encounter,Claimheader
raid,encounter,Claimheader
adsc,encounter,Claimheader
eldt,encounter,Claimheader
drdc,encounter,Claimheader
drtl,encounter,Claimheader
fc,encounter,Claimheader
stc,encounter,Claimheader
slc,encounter,Claimheader
adt,encounter,Claimheader
drdt,encounter,Claimheader
adsrn,encounter,Claimheader
ptt,encounter,Claimheader
inpid,insurance,Claimheader
incid,insurance,Claimheader
inpn,insurance,Claimheader
inptp,insurance,Claimheader
incn,insurance,Claimheader
ingno,insurance,Claimheader
inorgn,insurance,Claimheader
inpt,insurance,Claimheader
infn,insurance,Claimheader
inln,insurance,Claimheader
inmn,insurance,Claimheader
inpr,insurance,Claimheader
indob,insurance,Claimheader
inprsq,insurance,Claimheader
ptsid,insurance,Claimheader
ptsrn,insurance,Claimheader
inpcs,insurance,Claimheader
ingerid,insurance,Claimheader
ingen,insurance,Claimheader
inpfdt,insurance,Claimheader
inpldt,insurance,Claimheader
prs,insurance,Claimheader
prt,insurance,Claimheader
ptsgn,insurance,Claimheader
cms,notesandcomments,Claimheader
cmd,notesandcomments,Claimheader
cmt,notesandcomments,Claimheader
acoid,provider,Claimheader
acon,provider,Claimheader
adpid,provider,Claimheader
adpidt,provider,Claimheader
adpn,provider,Claimheader
adpnpi,provider,Claimheader
adps,provider,Claimheader
adpsc,provider,Claimheader
atpid,provider,Claimheader
atpidt,provider,Claimheader
atpn,provider,Claimheader
atpnpi,provider,Claimheader
atps,provider,Claimheader
atpsc,provider,Claimheader
cpid,provider,Claimheader
cpidt,provider,Claimheader
cpn,provider,Claimheader
cpnpi,provider,Claimheader
cps,provider,Claimheader
cpsc,provider,Claimheader
ftccn,provider,Claimheader
ftci,provider,Claimheader
ftid,provider,Claimheader
ftidt,provider,Claimheader
ftn,provider,Claimheader
ftnpi,provider,Claimheader
ftsa1,provider,Claimheader
ftsa2,provider,Claimheader
ftsp,provider,Claimheader
ftspcd,provider,Claimheader
ftst,provider,Claimheader
ftstn,provider,Claimheader
ftz,provider,Claimheader
opid,provider,Claimheader
opidt,provider,Claimheader
opn,provider,Claimheader
opnpi,provider,Claimheader
opsc,provider,Claimheader
opsn,provider,Claimheader
orgid,provider,Claimheader
orgn,provider,Claimheader
orgrid,provider,Claimheader
orgrn,provider,Claimheader
orgtin,provider,Claimheader
otpid,provider,Claimheader
otpidt,provider,Claimheader
otpn,provider,Claimheader
otpnpi,provider,Claimheader
otps,provider,Claimheader
otpsc,provider,Claimheader
rpid,provider,Claimheader
rpidt,provider,Claimheader
rpn,provider,Claimheader
rpnpi,provider,Claimheader
rps,provider,Claimheader
rpsc,provider,Claimheader
spidt,provider,Claimheader
spn,provider,Claimheader
spid,provider,Claimheader
sps,provider,Claimheader
spsc,provider,Claimheader
spnpi,provider,Claimheader
prvid,provider,Claimheader
st,source,Claimheader
sstp,source,Claimheader
rcdt,source,Claimheader
meunm,source,Claimheader
metmstp,source,Claimheader
medt,source,Claimheader
mefn,source,Claimheader
meln,source,Claimheader
meuid,source,Claimheader
menote,source,Claimheader
ingdt,source,Claimheader
pipid,source,Claimheader
sfn,source,Claimheader
vdnm,source,Claimheader
vdml,source,Claimheader
cltp,source,Claimheader
emrtp,source,Claimheader
tid,charge,Claimline
tbid,charge,Claimline
tsdt,charge,Claimline
tpdt,charge,Claimline
tsc,charge,Claimline
tscs,charge,Claimline
sdc,charge,Claimline
tt,charge,Claimline
tcamt,charge,Claimline
chtc,charge,Claimline
licamt,charge,Claimline
licop,charge,Claimline
chsbdt,charge,Claimline
tsn,charge,Claimline
sdn,charge,Claimline
ttn,charge,Claimline
tqt,charge,Claimline
utat,charge,Claimline
cat,charge,Claimline
cid,claimheader,Claimline
csbdt,claimheader,Claimline
cpdt,claimheader,Claimline
cadt,claimheader,Claimline
capdt,claimheader,Claimline
poac,claimheader,Claimline
adjr,claimheader,Claimline
drc,claimheader,Claimline
cltc,claimheader,Claimline
stp,claimheader,Claimline
adjs,claimheader,Claimline
cftc,claimheader,Claimline
rsc,claimheader,Claimline
pih,claimheader,Claimline
coph,claimheader,Claimline
coha,claimheader,Claimline
ddah,claimheader,Claimline
adjrn,claimheader,Claimline
drn,claimheader,Claimline
bt,claimheader,Claimline
adjsn,claimheader,Claimline
cbftn,claimheader,Claimline
dea,claimheader,Claimline
cpiml,claimheader,Claimline
caia,claimheader,Claimline
imeamt,claimheader,Claimline
cdpa,claimheader,Claimline
cuca,claimheader,Claimline
cdsa,claimheader,Claimline
clid,claimline,Claimline
ct,claimline,Claimline
clsfdt,claimline,Claimline
clsldt,claimline,Claimline
clapdt,claimline,Claimline
uqt,claimline,Claimline
catp,claimline,Claimline
rcc,claimline,Claimline
ctn,claimline,Claimline
nad,claimline,Claimline
ahfpat,claimline,Claimline
alat,claimline,Claimline
bp,claimline,Claimline
cobat,claimline,Claimline
ciat,claimline,Claimline
cpat,claimline,Claimline
cexp,claimline,Claimline
dat,claimline,Claimline
ecf,claimline,Claimline
sbc,claimline,Claimline
sbcn,claimline,Claimline
cmnpr,claimline,Claimline
bmsc,claimline,Claimline
bdsc,claimline,Claimline
cnppc,claimline,Claimline
clpic,claimline,Claimline
cloutfl,claimline,Claimline
ahc,claimline,Claimline
empi,demographic,Claimline
tel2,demographic,Claimline
tel3,demographic,Claimline
tel4,demographic,Claimline
ssa1,demographic,Claimline
ssa2,demographic,Claimline
sci,demographic,Claimline
sct,demographic,Claimline
sctn,demographic,Claimline
sst,demographic,Claimline
sstn,demographic,Claimline
scy,demographic,Claimline
sz,demographic,Claimline
race,demographic,Claimline
fn,demographic,Claimline
mn,demographic,Claimline
ln,demographic,Claimline
orec,demographic,Claimline
byind,demographic,Claimline
pl,demographic,Claimline
bfmdst,demographic,Claimline
bfsdcd,demographic,Claimline
hpstdt,demographic,Claimline
hpenddt,demographic,Claimline
rel,demographic,Claimline
mbi,demographic,Claimline
dob,demographic,Claimline
gn,demographic,Claimline
dod,demographic,Claimline
id,demographic,Claimline
idt,demographic,Claimline
ssn4,demographic,Claimline
ssn,demographic,Claimline
